"id";"FIN";"firstname";"lastname";"fathername";"gender";"birthdate";"address";"cityid";"emailaddress";"phonenumber";"maritialstatus";"militarystatus";"bloodtype";"createdate";"d"
3;"RLDS45X";"Amir";"Random";"Random";"M";"2003-04-15";"";0;"";"";"";"";"";"2022-11-30 10:53:15";0.0
5;"XQPS45X";"Selale";"Random";"Random";"F";"1995-08-28";"";0;"";"";"";"";"0";"2022-11-30 10:55:44";0.0
6;"STU6ZSS";"Günay";"Musayev";"Aytan";"M";"1996-04-06";"";3;"";"";"married";"not completed";"AB";"2022-12-01 09:50:14";0.0
7;"23HH4JY";"Zeynab";"Mehdiyev";"Sadaqat";"F";"1999-02-26";"";4;"";"";"divorced";"not completed";"0";"2022-12-01 09:50:14";0.0
8;"YVUHS3L";"Ramin";"Safarova";"Malahat";"M";"1997-12-21";"";17;"";"";"married";"completed";"A";"2022-12-01 09:50:14";0.0
9;"Y2V97B9";"Ceyhun";"Bağirova";"Vüqar";"F";"2001-07-20";"";28;"";"";"divorced";"completed";"AB";"2022-12-01 09:50:14";0.0
11;"XZDZLD7";"Ali";"Babayeva";"Orxan";"F";"1998-04-05";"";94;"";"";"married";"completed";"AB";"2022-12-01 09:50:14";0.0
12;"R2LQL65";"Şahin";"Tağiyeva";"Solmaz";"M";"1994-05-27";"";75;"";"";"single";"completed";"0";"2022-12-01 09:50:14";0.0
14;"J89AEOP";"Aysel";"Asgarova";"Elmira";"F";"1999-08-05";"";22;"";"";"divorced";"completed";"B";"2022-12-01 09:50:14";0.0
15;"ZA3PQY8";"Leyla";"Qarayeva";"Emin";"F";"1999-08-16";"";31;"";"";"single";"not completed";"A";"2022-12-01 09:50:14";0.0
17;"0SI7E43";"Günay";"Karimov";"Aytan";"M";"2002-01-01";"";15;"";"";"married";"not completed";"A";"2022-12-01 09:50:14";0.0
18;"FVSC5V4";"Rafiq";"Musayeva";"Elxan";"F";"1996-08-28";"";89;"";"";"single";"not completed";"AB";"2022-12-01 09:50:14";0.0
20;"54Q3J32";"Namiq";"Qurbanova";"Cavid";"F";"1998-02-28";"";87;"";"";"single";"not completed";"0";"2022-12-01 09:50:14";0.0
21;"JQ7YIVS";"Ilhame";"Novruzov";"Ilhame";"M";"2000-06-30";"";17;"";"";"divorced";"not completed";"AB";"2022-12-01 09:50:14";0.0
22;"TDQTQY0";"Günay";"Asadova";"Gülnar";"F";"2000-01-12";"";16;"";"";"married";"not completed";"AB";"2022-12-01 09:50:14";0.0
23;"3LJQQAD";"Mehriban";"Süleymanova";"Irade";"M";"2003-04-18";"";4;"";"";"divorced";"not completed";"B";"2022-12-01 09:50:14";0.0
24;"1HLP2DS";"Elçin";"Rüstamov";"Raşad";"M";"2003-08-30";"";5;"";"";"married";"completed";"0";"2022-12-01 09:50:14";0.0
25;"VOP0EZA";"Azar";"Zeynalov";"Emin";"F";"1999-10-24";"";23;"";"";"married";"completed";"A";"2022-12-01 09:50:14";0.0
26;"36IHRR0";"Xatire";"Mehdiyev";"Sevda";"F";"1997-10-26";"";99;"";"";"single";"completed";"AB";"2022-12-01 09:50:14";0.0
27;"564VQY5";"Matanat";"Haciyeva";"Ramin";"F";"1997-10-27";"";17;"";"";"divorced";"not completed";"AB";"2022-12-01 09:50:14";0.0
29;"UA16L3A";"Aynure";"Yusifov";"Fatma";"F";"2000-05-25";"";50;"";"";"single";"not completed";"A";"2022-12-01 09:50:14";0.0
30;"WRBHGFF";"Sevinc";"Ibrahimova";"Anar";"M";"2002-02-02";"";62;"";"";"single";"not completed";"A";"2022-12-01 09:50:14";0.0
31;"ZCIERXH";"Aygün";"Asgarova";"Aynure";"F";"2001-12-09";"";45;"";"";"married";"not completed";"AB";"2022-12-01 09:50:14";0.0
32;"2Q7ATS7";"Gülnar";"Isayeva";"Günel";"F";"2003-05-06";"";96;"";"";"single";"not completed";"B";"2022-12-01 09:50:14";0.0
33;"X56BXM9";"Emin";"Rzayeva";"Ilqar";"M";"1995-05-27";"";45;"";"";"single";"completed";"AB";"2022-12-01 09:50:14";0.0
34;"5YAS9SH";"Günel";"Aslanova";"Gülnar";"F";"2000-03-16";"";38;"";"";"married";"completed";"B";"2022-12-01 09:50:14";0.0
35;"RZJJOQF";"Nazim";"Rüstamova";"Sadaqat";"F";"1995-10-05";"";17;"";"";"divorced";"not completed";"A";"2022-12-01 09:50:14";0.0
36;"7I4790T";"Elvin";"Allahverdiyev";"Eldar";"M";"1996-12-22";"";22;"";"";"married";"completed";"0";"2022-12-01 09:50:14";0.0
37;"UQAZU88";"Leyla";"Rahimov";"Aynure";"F";"1996-04-07";"";61;"";"";"divorced";"completed";"AB";"2022-12-01 09:50:14";0.0
38;"OS9IT01";"Ilhame";"Mehdiyeva";"Anar";"M";"2000-11-12";"";27;"";"";"divorced";"completed";"A";"2022-12-01 09:50:14";0.0
39;"5CBYHTI";"Ilqar";"Yusifova";"Orxan";"F";"2002-07-25";"";22;"";"";"married";"completed";"0";"2022-12-01 09:50:14";0.0
40;"RJHLLRE";"Aygün";"Tağiyev";"Irade";"M";"1997-06-03";"";94;"";"";"married";"completed";"AB";"2022-12-01 09:50:14";0.0
41;"VI7K2UJ";"Natiq";"Karimova";"Ceyhun";"M";"1999-01-01";"";29;"";"";"single";"not completed";"A";"2022-12-01 09:50:14";0.0
42;"XPZGXFT";"Aytan";"Safarova";"Mahir";"M";"1998-10-08";"";58;"";"";"single";"completed";"AB";"2022-12-01 09:50:14";0.0
43;"RKJ3AOB";"Mahir";"Asadov";"Mehman";"M";"1997-07-14";"";84;"";"";"divorced";"completed";"0";"2022-12-01 09:50:14";0.0
44;"3HBMKRM";"Nazim";"Samadova";"Arif";"F";"2001-07-11";"";55;"";"";"divorced";"not completed";"B";"2022-12-01 09:50:14";0.0
45;"U09AH2G";"Mahammad";"Mamedov";"Ilhame";"F";"1998-11-30";"";76;"";"";"divorced";"not completed";"0";"2022-12-01 09:50:15";0.0
46;"EA5GBEE";"Nazim";"Bağirov";"Tarane";"F";"1995-09-02";"";2;"";"";"single";"not completed";"AB";"2022-12-01 09:50:15";0.0
47;"D8F3LMP";"Nazile";"Mirzayeva";"Camile";"M";"2000-07-09";"";92;"";"";"divorced";"not completed";"0";"2022-12-01 09:50:15";0.0
48;"FYPTR4F";"Ali";"Xalilov";"Sevinc";"F";"1999-08-02";"";70;"";"";"single";"not completed";"0";"2022-12-01 09:50:15";0.0
49;"YT9B13V";"Gülşan";"Ibrahimov";"Faride";"M";"2000-06-19";"";57;"";"";"single";"not completed";"A";"2022-12-01 09:50:15";0.0
50;"EKLL5QS";"Elşan";"Mahmudov";"Matanat";"M";"2000-08-01";"";13;"";"";"single";"completed";"A";"2022-12-01 09:50:15";0.0
51;"FV24EOM";"Irade";"Mirzayeva";"Ali";"M";"1995-11-19";"";6;"";"";"divorced";"not completed";"0";"2022-12-01 09:50:15";0.0
52;"PDMB7L1";"Ülviyye";"Ağayev";"Şahin";"F";"1996-12-24";"";79;"";"";"married";"completed";"AB";"2022-12-01 09:50:15";0.0
53;"M7UKPML";"Gülnar";"Isayeva";"Irade";"M";"2000-04-12";"";97;"";"";"single";"completed";"B";"2022-12-01 09:50:15";0.0
54;"IGXVZ7B";"Matanat";"Quliyev";"Şahin";"M";"2002-10-16";"";64;"";"";"single";"not completed";"0";"2022-12-01 09:50:15";0.0
57;"PUJUWL6";"Rauf";"Cafarova";"Malahat";"M";"2000-12-20";"";9;"";"";"divorced";"completed";"A";"2022-12-01 09:50:15";0.0
58;"7ID29I4";"Şahla";"Novruzov";"Zeynab";"F";"1996-12-20";"";66;"";"";"single";"not completed";"B";"2022-12-01 09:50:15";0.0
59;"QDGX92P";"Ilhame";"Maharramova";"Arzu";"M";"1995-12-26";"";27;"";"";"single";"completed";"B";"2022-12-01 09:50:15";0.0
60;"IB7V2IU";"Elxan";"Rüstamov";"Nigar";"M";"1995-08-14";"";83;"";"";"divorced";"completed";"0";"2022-12-01 09:50:15";0.0
61;"TPAQ56G";"Arzu";"Safarov";"Leyla";"M";"1998-07-03";"";1;"";"";"single";"completed";"B";"2022-12-01 09:50:15";0.0
62;"2BAXB63";"Kamran";"Azizova";"Şahla";"M";"1997-04-27";"";15;"";"";"divorced";"not completed";"A";"2022-12-01 09:50:15";0.0
63;"GDM9ZEV";"Tarane";"Bayramov";"Malahat";"F";"2002-05-27";"";37;"";"";"single";"completed";"B";"2022-12-01 09:50:15";0.0
64;"3592NJF";"Arzu";"Valiyev";"Samire";"F";"1995-08-30";"";5;"";"";"married";"completed";"AB";"2022-12-01 09:50:15";0.0
65;"T1S1GHZ";"Esmira";"Maharramov";"Matanat";"F";"1998-05-01";"";51;"";"";"divorced";"completed";"0";"2022-12-01 09:50:15";0.0
66;"X63VB6F";"Zeynab";"Alakbarova";"Zaur";"M";"2003-05-03";"";56;"";"";"married";"not completed";"B";"2022-12-01 09:50:15";0.0
67;"EA44QWA";"Malahat";"Maharramova";"Namiq";"M";"1998-09-12";"";56;"";"";"divorced";"not completed";"0";"2022-12-01 09:50:15";0.0
68;"Y1UNTPP";"Rafiq";"Hasanov";"Ruslan";"M";"1996-01-06";"";60;"";"";"single";"completed";"0";"2022-12-01 09:50:15";0.0
69;"HCZR04N";"Raşad";"Qurbanova";"Ramil";"M";"1995-09-07";"";80;"";"";"married";"not completed";"B";"2022-12-01 09:50:15";0.0
70;"8QNAJJZ";"Leyla";"Muradova";"Gülnare";"F";"2002-06-17";"";52;"";"";"married";"not completed";"A";"2022-12-01 09:50:15";0.0
71;"4PB0AV8";"Elnur";"Valiyev";"Elnare";"F";"2002-11-01";"";33;"";"";"divorced";"completed";"A";"2022-12-01 09:50:15";0.0
72;"XZ5UWDY";"Emin";"Cafarov";"Elxan";"F";"2002-04-27";"";26;"";"";"married";"not completed";"B";"2022-12-01 09:50:15";0.0
73;"EXGIDYG";"Lale";"Safarova";"Samir";"F";"1996-03-21";"";40;"";"";"married";"completed";"A";"2022-12-01 09:50:15";0.0
74;"8IEYBF3";"Camile";"Asgarov";"Nurane";"F";"1999-09-14";"";85;"";"";"divorced";"not completed";"A";"2022-12-01 09:50:15";0.0
75;"GGZ52E6";"Nigar";"Ibrahimov";"Elnur";"M";"2003-06-23";"";80;"";"";"married";"completed";"AB";"2022-12-01 09:50:15";0.0
76;"P4B6EFA";"Cavid";"Hüseynova";"Ali";"M";"1997-05-03";"";9;"";"";"divorced";"not completed";"AB";"2022-12-01 09:50:15";0.0
77;"QLQX5IT";"Nigar";"Qarayeva";"Leyla";"M";"1995-02-19";"";98;"";"";"divorced";"not completed";"B";"2022-12-01 09:50:15";0.0
78;"CW037OP";"Anar";"Allahverdiyev";"Leyla";"M";"2003-02-07";"";91;"";"";"married";"not completed";"B";"2022-12-01 09:50:15";0.0
79;"YBA11NX";"Tarane";"Zeynalov";"Sevda";"F";"1995-03-14";"";41;"";"";"divorced";"completed";"A";"2022-12-01 09:50:15";0.0
80;"K89CIAX";"Mehman";"Hasanov";"Elman";"F";"1997-06-02";"";4;"";"";"single";"not completed";"B";"2022-12-01 09:50:15";0.0
81;"ANRBDNB";"Camile";"Maharramova";"Faride";"F";"1999-02-08";"";78;"";"";"single";"not completed";"A";"2022-12-01 09:50:15";0.0
82;"QQV4FMS";"Faride";"Valiyev";"Xayale";"M";"1995-05-18";"";72;"";"";"married";"not completed";"A";"2022-12-01 09:50:15";0.0
83;"02AI7KU";"Ruslan";"Maharramova";"Nazim";"F";"1997-11-23";"";33;"";"";"single";"not completed";"0";"2022-12-01 09:50:15";0.0
